t,mission_phase,throttle,altitude_ft,ambient_temp,rpm,cht,egt,oil_pressure,oil_temp,fuel_flow,vibration,battery_voltage,alternator_health,injection_timing,scenario,fault_start
21,TAKEOFF,0.85,2040,25.06,4253.339550023113,182.19702635979357,676.9849561637448,55.33789316677955,90.26158763989291,21.3104186514598,0.14491119423978838,23.972263075412275,0.9601015557939291,18.060365840205225,Overheating / Thermal Degradation,104
22,TAKEOFF,0.85,2130,25.195,4294.810909450829,181.54144776394605,651.0014141304697,56.59749361946561,86.98281547072999,20.85580471741561,0.14480092932952418,23.98165384430808,0.9595849631096504,17.710307057876275,Overheating / Thermal Degradation,104
23,TAKEOFF,0.85,2220,25.33,4264.110351394486,179.3920012231968,654.3796750730447,55.67711601504424,85.75774689018155,21.055778577646898,0.14425012401342552,24.150250319313187,0.9648388238200599,18.077807281348644,Overheating / Thermal Degradation,104
24,TAKEOFF,0.85,2310,25.465,4257.681787912411,184.19326677925588,651.4557485659303,56.18149480546535,88.7298022315108,20.11913976463914,0.1329311362781707,24.10612810688704,0.9669542129698613,17.820947299743242,Overheating / Thermal Degradation,104
25,CLIMB,0.78,2400,25.6,4178.453061889259,180.24035548244268,645.6427733897713,59.276827344265264,88.82825733952579,19.74094855932446,0.1434700620980171,24.142026778015644,0.9645610260080019,18.006414949514095,Overheating / Thermal Degradation,104
26,CLIMB,0.78,2580,25.87,4197.100802082174,177.99748473921835,657.192229454153,56.564364264653506,90.19589178365148,19.475469405397494,0.1290743022021141,24.047416233800885,0.9592544266596652,17.98569973952065,Overheating / Thermal Degradation,104
27,CLIMB,0.78,2760,26.14,4192.61976941601,176.8908347949388,658.398690585315,57.277930012347284,88.34144635815217,19.356615428851732,0.1330028038141246,24.125605977348975,0.9589589665348427,18.140344577675265,Overheating / Thermal Degradation,104
28,CLIMB,0.78,2940,26.41,4192.850117455112,180.52909817832344,656.612967613957,56.3930498710985,87.07692495512146,19.488446671574938,0.1476899554746566,24.24721056462408,0.958691454391255,17.978561379718332,Overheating / Thermal Degradation,104
29,CLIMB,0.78,3120,26.68,4192.438062066173,179.79432604496108,641.8571070449688,56.74842727434388,86.3623040676227,19.691456795754714,0.14444654113885938,24.17645197718775,0.9573295115482425,17.91670337266252,Overheating / Thermal Degradation,104
30,CLIMB,0.78,3300,26.95,4229.26624721915,175.48774367363788,634.2265690703064,56.61282168456689,87.78667693750597,20.141565889824605,0.14897678802780104,24.137182392708567,0.9648379414377883,17.939207676483456,Overheating / Thermal Degradation,104
31,CLIMB,0.78,3480,27.22,4172.398869639539,179.62665528324365,655.9521822685135,57.14282128576511,87.3881029441721,19.369362548791152,0.13666327931418895,24.1006567653937,0.9689001756868322,18.15274593225056,Overheating / Thermal Degradation,104
32,CLIMB,0.78,3660,27.490000000000002,4169.260659960426,180.82520027380826,651.662515697255,58.02989979621133,86.38189814140678,19.856921022408045,0.1304992581110626,24.103325628887834,0.9643463368523008,18.064355636301705,Overheating / Thermal Degradation,104
33,CLIMB,0.78,3840,27.759999999999998,4161.816999978547,177.8468545978343,660.4884719454495,58.61161219688433,91.04513347629492,19.689340698333247,0.1368819396205076,23.999248126648,0.9553583409706486,17.95372440221722,Overheating / Thermal Degradation,104
34,CLIMB,0.78,4020,28.03,4192.461547296661,181.17206149994485,663.1170826359916,56.82750610648191,90.71725260310821,19.756714416973313,0.13927921908068402,24.142458425255267,0.9636369581586618,17.971626429604257,Overheating / Thermal Degradation,104
35,CLIMB,0.78,4200,28.3,4202.93739043986,176.8414970412782,658.4891728885282,57.146410951846285,89.81107302533314,20.234965238856613,0.13911792101438006,24.17772898650891,0.9637488040134696,17.811938749129748,Overheating / Thermal Degradation,104
36,CLIMB,0.78,4380,28.57,4174.783155931593,184.9308210800341,664.5316977683827,54.838876138058765,86.7932244032863,20.084940402951375,0.14650076335129691,24.03246284036976,0.9727839950009018,18.046616904102184,Overheating / Thermal Degradation,104
37,CLIMB,0.78,4560,28.84,4157.996557506824,184.9582599581664,660.1989023670355,56.175760234859695,89.52452898644592,20.37728933760496,0.13603610702497587,24.08731498646159,0.9585714483483219,17.788822115076545,Overheating / Thermal Degradation,104
38,CLIMB,0.78,4740,29.11,4157.531413254793,181.03145146395173,663.3520823504133,57.46737630434866,89.26893961424685,19.867723012262537,0.14102924130262046,24.057552122065992,0.9628372895896032,18.090215575900256,Overheating / Thermal Degradation,104
39,CLIMB,0.78,4920,29.38,4189.173041332143,183.03067214594938,652.6849406341711,57.3257592299423,89.04081843630607,19.690820085915256,0.13164460995395774,24.069078928311473,0.9712234107221783,18.015434591098952,Overheating / Thermal Degradation,104
40,CLIMB,0.78,5100,29.65,4190.401591766476,175.53971849576035,657.8559972755169,56.43009265263357,90.31899790056566,19.868649414091824,0.14171722094630668,24.130208897609315,0.9661999133653862,18.28643421594887,Overheating / Thermal Degradation,104
41,CLIMB,0.78,5280,29.92,4185.189393902714,179.32422655125708,661.6889848699127,57.26231214743834,89.46505671429192,20.044473876944927,0.13858675985129945,24.00193587070069,0.9666532522940657,17.867983733553082,Overheating / Thermal Degradation,104
42,CLIMB,0.78,5460,30.189999999999998,4157.788786439649,182.01391902357403,667.7482562787568,56.70299672169196,89.6895213544565,20.0340006754588,0.13331630663200839,24.163856226301423,0.9648583377480956,17.987680549075122,Overheating / Thermal Degradation,104
43,CLIMB,0.78,5640,30.46,4176.727549107468,180.10902754000477,657.2653294499789,57.58039813573712,89.60235942505831,19.60526417471832,0.136914194464776,24.17223130419602,0.9657197741546291,18.215794524110766,Overheating / Thermal Degradation,104
44,CLIMB,0.78,5820,30.73,4173.377087801096,185.38581015136586,665.945005301589,56.35116690404425,89.22568711200316,20.029071423569754,0.13727576977439343,24.111933844717782,0.9675104381211141,18.14296675683497,Overheating / Thermal Degradation,104
45,CLIMB,0.78,6000,31.0,4174.811149128038,189.25243028609438,659.3074508727616,55.46759218975765,86.10658330542873,20.089879915548618,0.13667391409464033,23.978157489400928,0.961162054724429,17.91645455381041,Overheating / Thermal Degradation,104
46,CLIMB,0.78,6180,31.27,4188.36143311486,180.63997878559798,661.0876204940469,56.32159363401293,88.97493161611582,20.90371591313687,0.15096438869587378,24.067214882439856,0.9679122343156328,18.026876091404812,Overheating / Thermal Degradation,104
47,CLIMB,0.78,6360,31.54,4173.299102073043,181.86410246856147,670.0566713782167,52.030227311391386,88.08271206172631,20.692095613948585,0.13787587798384485,24.20097411604616,0.9589079879324579,18.00023992276981,Overheating / Thermal Degradation,104
48,CLIMB,0.78,6540,31.810000000000002,4182.506098387581,185.1427554312678,645.0989566605126,56.29275145730057,87.06473856353996,19.749164827304412,0.13685772722875864,23.960320343156283,0.9657134718913262,18.033834704087297,Overheating / Thermal Degradation,104
49,CLIMB,0.78,6720,32.08,4168.246739528756,189.26912521579894,651.8137490473273,51.00706332722078,91.57472492895123,19.959815823457788,0.123882843296729,24.106148595268387,0.9651149638531453,17.91615834768182,Overheating / Thermal Degradation,104
50,CLIMB,0.78,6900,32.35,4172.310626771179,181.60985192488826,650.5878314230147,53.464497570372956,91.71299301132856,19.56079529935705,0.13230554853614365,24.056199953291962,0.9619348276472316,17.989281551675912,Overheating / Thermal Degradation,104
51,CLIMB,0.78,7080,32.620000000000005,4179.028340968448,186.00430114245944,643.3704549213653,56.247299181223276,91.22583090044341,19.878852545112778,0.13672348602880552,24.17527421809509,0.9643092588986975,17.808233714966793,Overheating / Thermal Degradation,104
52,CLIMB,0.78,7260,32.89,4132.272571963175,190.68113678227672,658.7141200386035,56.235788138446836,89.63732012528381,20.208661751256617,0.1337640312667635,24.086493162871392,0.9619098393893378,18.01621481422417,Overheating / Thermal Degradation,104
53,CLIMB,0.78,7440,33.16,4156.48723324014,181.23107438509805,672.0089050975498,54.05884258581809,91.34793768142899,20.53284876731088,0.14823695315364457,24.151237241244136,0.9601131946925531,18.05400248081062,Overheating / Thermal Degradation,104
54,CLIMB,0.78,7620,33.43,4152.361801605559,182.5435062208317,663.1455434025569,54.59926734555738,89.40757977090274,19.868220656789738,0.13741043557222646,24.160927625150144,0.9629855410335455,17.972709670482732,Overheating / Thermal Degradation,104
55,CLIMB,0.78,7800,33.7,4147.8446873386465,185.21890150190964,667.9351107374766,57.261703285198365,89.76119591534666,19.90704874597627,0.14758410974522776,24.2371735503838,0.9599840454585133,17.806193893129826,Overheating / Thermal Degradation,104
56,CLIMB,0.78,7980,33.97,4155.036870473014,185.22185244400484,676.4034574703973,54.80576082895552,87.88429294430702,19.39704883959147,0.13899693243835257,24.114823483379478,0.965691189856373,18.118623823542176,Overheating / Thermal Degradation,104
57,CLIMB,0.78,8160,34.24,4193.168708847156,189.2292836057102,678.9951751904093,58.30579640612388,90.18748695674826,20.104266927809284,0.13882559485495102,24.149562662177356,0.9597996580233906,18.043743004559136,Overheating / Thermal Degradation,104
58,CLIMB,0.78,8340,34.51,4140.421715454749,187.90514721549835,666.8692585874647,55.34250419087075,89.75007889263662,19.80195495584915,0.1379434248660125,24.03789667125235,0.9672479080919643,17.912878188275883,Overheating / Thermal Degradation,104
59,CLIMB,0.78,8520,34.78,4179.962123801012,182.53310623300206,680.1192730061246,55.830447029945645,87.77302182474831,20.001096200421873,0.1385915737613502,24.198424813797622,0.9596740837282848,17.966327946379433,Overheating / Thermal Degradation,104
60,CLIMB,0.78,8700,35.05,4120.826865024453,189.22064912812226,669.211639925907,57.35693671804819,89.7177043322751,19.892098727641343,0.15059656502134902,24.081369469115717,0.962134820337676,17.81991967166618,Overheating / Thermal Degradation,104
61,CLIMB,0.78,8880,35.32,4149.672529340313,186.43489111540418,661.2914159855529,55.38033525105145,89.74240565421478,20.178608106011605,0.12232772491274146,24.093354750154734,0.9619015863671393,17.87695078466665,Overheating / Thermal Degradation,104
62,CLIMB,0.78,9060,35.59,4159.81056743231,191.89495220743547,663.9238968302114,53.86195282510196,92.62584174996695,19.60899506302518,0.12455417978892924,24.125665132309045,0.9697005869154994,17.935462638437144,Overheating / Thermal Degradation,104
63,CLIMB,0.78,9240,35.86,4168.316891289905,186.84375489797662,656.3941713869148,54.977354312797424,91.33831999277011,19.72333416411315,0.1347628041826072,24.033226939279608,0.9657211597824664,18.14741049747362,Overheating / Thermal Degradation,104
64,CLIMB,0.78,9420,36.13,4170.256984755442,187.09297720731374,662.1712953163972,55.028706042952884,90.0816681586372,20.994636489209906,0.13866669517356298,24.140726201735735,0.9635530647898225,17.9232595930935,Overheating / Thermal Degradation,104
65,CRUISE,0.62,9600,36.4,3987.2536391743984,182.3451685102527,636.98784980733,54.29583585213796,87.80118096470162,17.33140209655409,0.13871573097334808,24.2410479763755,0.9695948777642789,18.076825639119452,Overheating / Thermal Degradation,104
66,CRUISE,0.62,9600,36.4,3962.1280484105346,182.96619415054343,647.4422651744073,55.73741830725693,87.4943185671563,17.398125047540876,0.13719661038619232,24.200576029409838,0.9591712306106812,17.93540205565661,Overheating / Thermal Degradation,104
67,CRUISE,0.62,9600,36.4,3959.6282605613796,182.08467821902138,655.6969284804937,55.10515027780333,87.12362902280668,18.42491973491246,0.131195278609836,24.087666146149278,0.9674274656414363,18.029753707302223,Overheating / Thermal Degradation,104
68,CRUISE,0.62,9600,36.4,3988.6754693876574,176.11032751132254,627.7703663616065,57.27166508434367,85.80435920391757,18.79877350923414,0.14101830585269234,24.17557144234022,0.975590056711219,17.983032539742744,Overheating / Thermal Degradation,104
69,CRUISE,0.62,9600,36.4,3965.5913048526045,182.3364964317991,643.7454472143392,56.114995436440836,87.2014221835896,17.37195167991113,0.1410963678220691,24.22752173417877,0.9681293860256107,18.10476679201113,Overheating / Thermal Degradation,104
70,CRUISE,0.62,9600,36.4,3941.734900886566,177.9339374553117,630.8451045475821,55.70236552610816,86.30885261502122,17.65311286512419,0.13517340481890097,24.070320674042044,0.9678716526766774,17.93582263941377,Overheating / Thermal Degradation,104
71,CRUISE,0.62,9600,36.4,3944.8676812919234,181.48877311244715,644.4822737961688,55.931963490190654,85.55252669161528,17.901544442829177,0.1406236030074079,24.118514039170936,0.9697925135185688,17.811296609999708,Overheating / Thermal Degradation,104
72,CRUISE,0.62,9600,36.4,3949.5720497079647,176.84354358088265,639.0302201438104,56.36005862392802,88.1948327218213,18.38704417554196,0.1357935168440249,24.23559261624489,0.9711824209732574,17.834166116236364,Overheating / Thermal Degradation,104
73,CRUISE,0.62,9600,36.4,3980.737536369183,182.0797020131206,623.7318475673721,56.871858459596716,88.01489698989985,17.436600022550117,0.12995461881251982,24.199205726051837,0.9596101332284406,17.93617470072687,Overheating / Thermal Degradation,104
74,CRUISE,0.62,9600,36.4,3972.9333661935525,178.57152306793938,648.5646729241163,54.770374102729804,84.74793873294789,17.696152753920263,0.13876971787300005,24.207718294927606,0.9608706940728359,17.850112803518634,Overheating / Thermal Degradation,104
75,CRUISE,0.62,9600,36.4,3984.990677789491,177.23862297927056,634.7649935847213,54.715936077592346,87.24397304375731,18.05406815162161,0.13465929185805076,24.294569688457397,0.9684411651643446,18.049225441881546,Overheating / Thermal Degradation,104
76,CRUISE,0.62,9600,36.4,3960.4004417805963,182.82869638215072,635.404897854638,57.50608298002329,88.92155207884988,17.934168126063316,0.1338943789272814,24.211113166710373,0.96474049375241,17.94410782021703,Overheating / Thermal Degradation,104
77,CRUISE,0.62,9600,36.4,3973.287873203688,181.5066046606949,630.5822282983927,55.53396206613385,89.01683560834448,17.650345375069467,0.144195675005327,24.22247328062599,0.9728481010488796,18.28495278600317,Overheating / Thermal Degradation,104
78,CRUISE,0.62,9600,36.4,3983.5629886672814,179.1108649560999,634.3214505098119,54.22810527962407,88.96675526432786,17.735161962419387,0.1167288951002194,24.3456447316331,0.9663393024404591,17.791474248583544,Overheating / Thermal Degradation,104
79,CRUISE,0.62,9600,36.4,3962.9943761261547,184.893300777259,644.0610139662542,56.64695652219804,87.48636981035219,17.300786467070505,0.12396121080888302,24.17017172651457,0.9598618770571475,18.024435981445176,Overheating / Thermal Degradation,104
80,CRUISE,0.62,9600,36.4,3979.8490552262633,179.59617321960474,638.5068009315722,56.672380747842496,86.16043200804627,17.698639189608866,0.12557550701537942,24.13512703418289,0.962527944332624,17.86464563717932,Overheating / Thermal Degradation,104
81,CRUISE,0.62,9600,36.4,3955.2376292965337,180.91990148711864,643.1679580205423,54.08007016556628,85.8024517589629,17.688764378496867,0.13134217546701837,24.20866778389483,0.9566012959214777,17.940791839154077,Overheating / Thermal Degradation,104
82,CRUISE,0.62,9600,36.4,3961.812815375569,181.5829576535001,643.4672966853595,56.36832623010269,87.94490735712553,17.86325946136919,0.13210274281163778,24.209339461763335,0.9666634978508684,18.016970336800867,Overheating / Thermal Degradation,104
83,CRUISE,0.62,9600,36.4,3961.401766332037,179.0949353844399,652.0959548997535,57.02625802015689,87.99692005154775,17.587635473413343,0.12333372046558867,24.151397076483228,0.9668464634909425,17.720955435015085,Overheating / Thermal Degradation,104
84,CRUISE,0.62,9600,36.4,3943.4915277970413,182.1491816215198,637.1249246422205,56.556702387218145,89.3589966674076,17.9470384828908,0.12698889377382422,24.12105617882671,0.9659021491608725,18.028419134014563,Overheating / Thermal Degradation,104
85,CRUISE,0.62,9600,36.4,3980.513394577283,179.3363334279388,626.9182796483883,56.891575928889814,89.07796947551313,18.13645053623694,0.127859108250335,24.321590665325406,0.9719155161561189,18.2283488954729,Overheating / Thermal Degradation,104
86,CRUISE,0.62,9600,36.4,3959.4731485155403,179.67741269779464,649.8150017491478,54.244450172482026,87.22965701520324,17.836400264683963,0.15108696864453125,24.20261060822328,0.9723940793460668,17.94558740419577,Overheating / Thermal Degradation,104
87,CRUISE,0.62,9600,36.4,3970.0748706120094,184.64539939144936,637.2266064511247,56.500352201495055,85.5616911817087,17.90511474293972,0.14649719363423003,24.139062877115876,0.9669184463065755,18.03117694281666,Overheating / Thermal Degradation,104
88,CRUISE,0.62,9600,36.4,3980.37642649593,177.9163590529652,650.2413320011963,55.67659431268842,86.94934010448365,17.800604371652252,0.13100275407620746,24.237955818136776,0.9590612253300926,18.122990603175047,Overheating / Thermal Degradation,104
89,CRUISE,0.62,9600,36.4,3979.623685872659,174.07421507339745,643.6603940186421,55.44237279365796,87.75384679221578,17.782029537581995,0.1313399169678524,24.17645129090632,0.9700691263219691,17.98032557999676,Overheating / Thermal Degradation,104
90,CRUISE,0.62,9600,36.4,3984.4384723974013,185.3406235860333,639.0297622281698,57.20172229224565,87.12487513191589,17.529454688260003,0.12584057201968193,24.16782711322093,0.9698214409140343,17.930284777376222,Overheating / Thermal Degradation,104
91,CRUISE,0.62,9600,36.4,3967.6333193407927,187.96811826729962,643.3489830464166,57.9930568638765,86.56115883788351,17.89277299158566,0.12052808710742313,24.21673637231487,0.9688375662806278,17.72691163155339,Overheating / Thermal Degradation,104
92,CRUISE,0.62,9600,36.4,3960.487437135029,179.6952460567419,657.7691130411366,58.402681070980464,87.80732722245484,17.747949690555277,0.13306683869514033,24.1054870639061,0.9715259189972325,18.076918886327398,Overheating / Thermal Degradation,104
93,CRUISE,0.62,9600,36.4,3968.0461993600593,175.4068534862635,658.9028247614837,57.77925023295768,86.67206338788408,18.51460890812571,0.12690003611729184,24.20415763223503,0.9629406876141559,17.98641979083253,Overheating / Thermal Degradation,104
94,CRUISE,0.62,9600,36.4,3932.6786424529237,179.96064486665136,640.834430216195,55.92734556388076,86.48590087441194,18.332674215866334,0.13329104627836594,24.297777288463905,0.9756350215447406,17.87847793783342,Overheating / Thermal Degradation,104
95,CRUISE,0.62,9600,36.4,3937.963525606692,180.02857574044614,641.6517153398536,56.528536211934245,87.89517925145516,17.917046293394776,0.12268355905669566,24.21097065973184,0.9637622889874325,18.015191605233323,Overheating / Thermal Degradation,104
96,CRUISE,0.62,9600,36.4,3940.7006085282032,180.2982132451377,649.8961614171974,57.066869733319514,86.82501112980619,17.514929976606833,0.1285511787918282,24.160427273772992,0.9705968917088035,17.92995835718326,Overheating / Thermal Degradation,104
97,CRUISE,0.62,9600,36.4,3947.8605697927674,177.71251348261885,632.5990507050938,56.2275313340893,87.79415658346753,17.392655984805803,0.1349253896671198,24.152573683174307,0.9608506092223467,17.936588864266138,Overheating / Thermal Degradation,104
98,CRUISE,0.62,9600,36.4,3978.5950329879156,182.45277119893416,643.2076333535642,56.239993444285005,87.83780603427819,18.198900033581104,0.13644846718448755,24.158379601599293,0.9638789412509198,18.072754938733045,Overheating / Thermal Degradation,104
99,CRUISE,0.62,9600,36.4,3949.8794607820787,182.29862065080104,639.9772343684152,57.14087907143904,85.71885649836264,17.8739622288015,0.1368073037111941,24.167762239317135,0.9736654745869013,17.839394110641138,Overheating / Thermal Degradation,104
100,CRUISE,0.62,9600,36.4,3961.4804238111337,176.64566426450597,643.0351739031179,55.99293256016629,86.70613831420188,17.950050191187064,0.12464157711090074,24.160331608034504,0.9665564007079966,18.12567783432885,Overheating / Thermal Degradation,104
101,CRUISE,0.62,9600,36.4,3998.383022551294,182.7877508487457,632.7096807464553,55.12192698271424,89.58466540987469,17.171394904559033,0.13986780011094893,24.237978686464473,0.9709596904205312,17.83227766042579,Overheating / Thermal Degradation,104
102,CRUISE,0.62,9600,36.4,3961.962192636649,186.57751794944852,625.9038925602192,55.53118501441338,85.68488073089857,18.106603468545362,0.12828351812378705,24.07900745380746,0.968547821554877,17.92047583099737,Overheating / Thermal Degradation,104
103,CRUISE,0.62,9600,36.4,3986.025342506276,181.31148893082377,621.5531490760783,56.89408349105386,84.25301832654421,17.941047118375028,0.13831500540225114,24.234720003024727,0.9671801673759993,18.23075354328799,Overheating / Thermal Degradation,104
104,CRUISE,0.62,9600,36.4,3949.260411039783,179.8854895462082,630.1535429830934,56.07389127855994,84.63523227013623,17.393349260454933,0.13381052926367265,24.160218808491447,0.9730554012997308,18.13528257139709,Overheating / Thermal Degradation,104
105,CRUISE,0.62,9600,36.4,3965.2803737269123,180.98502257860633,637.160869803967,56.51227296992884,87.66903334091764,17.616966317392517,0.12457923487487542,24.20561686714172,0.9666533647013924,18.011712479099454,Overheating / Thermal Degradation,104
106,CRUISE,0.62,9600,36.4,3948.8995147919672,183.65798210540672,639.7291704570032,56.94110301486285,87.8691127591543,17.874301021524783,0.1323295108047738,24.115380725387947,0.9604770475697462,17.887136374139853,Overheating / Thermal Degradation,104
107,CRUISE,0.62,9600,36.4,3962.3412723301876,177.64201424142192,660.8819225671286,55.58270609823311,87.8436889800202,17.800363379424684,0.13742938829970952,24.262717864010966,0.9643870396321932,17.936487323196012,Overheating / Thermal Degradation,104
108,CRUISE,0.62,9600,36.4,3988.286779024063,183.50082028412595,654.4797298028498,57.053122612718745,90.03875842760327,17.679740084968756,0.1394915471370064,24.25773809761031,0.9698047669148068,18.008793037750284,Overheating / Thermal Degradation,104
109,CRUISE,0.62,9600,36.4,3931.7989506897684,182.499858836241,636.9459167950306,56.56249538449591,84.40559045560876,17.745779106176915,0.13454282155999434,24.240575431545004,0.9691820364254501,18.004502787880753,Overheating / Thermal Degradation,104
110,CRUISE,0.62,9600,36.4,3979.357320158009,189.31969950996117,649.8130602825848,54.46474298701508,89.20611133796203,17.69380791762759,0.1465811364447337,24.09211471345239,0.9613317669990583,17.989095488444885,Overheating / Thermal Degradation,104
111,CRUISE,0.62,9600,36.4,3975.0301832513105,184.2107373979777,644.0989274517943,57.94499622854212,91.15173625007378,17.835396879235866,0.14324020697585327,24.232747264263963,0.9647026299223672,17.9963000983099,Overheating / Thermal Degradation,104
112,CRUISE,0.62,9600,36.4,3956.7287009746706,189.9211379427136,646.2823044050075,55.41903183311601,87.31527622108348,18.297022190547604,0.13472000013257016,24.207291305258142,0.965273114603191,17.974274986835386,Overheating / Thermal Degradation,104
113,CRUISE,0.62,9600,36.4,3937.9867272034544,182.71321025673672,651.5884571605278,53.91837605385926,88.63460602178884,16.883669545674046,0.1420963790007481,24.086683725172044,0.9661381216235431,17.8269625517232,Overheating / Thermal Degradation,104
114,CRUISE,0.62,9600,36.4,3971.3868491697053,188.0006414565215,656.572013736989,54.71144317753781,88.27234633468338,17.69910240742161,0.15071102808052786,24.18154215697375,0.9620963456455938,17.9380187109407,Overheating / Thermal Degradation,104
115,CRUISE,0.62,9600,36.4,3958.1511604005964,187.8032681070365,649.0250946976754,54.74264129111818,88.25753356246265,17.843779347480357,0.15122681325811277,24.204872069341995,0.9650865155675221,18.10975488647842,Overheating / Thermal Degradation,104
116,CRUISE,0.62,9600,36.4,3974.9188766498037,185.02824665334703,662.7320322156618,56.13782531425479,89.30702804509701,17.885597896390486,0.12923636925529516,24.21636451642939,0.964685558058962,17.835799884293866,Overheating / Thermal Degradation,104
